109930;
117402;
136016;
138329;732773
139301;
153182;
162279;541870
164356;
164605;
170414;905820
183681;969335
194327;626924
200326;210205
200499;965119
210205;
212691;497108
213181;449350
214573;307813
217375;153182
228790;258728
237387;360994
238267;996394
255774;
258082;
258728;264362
259417;613660
261367;435440
261683;
264362;
267686;671094
271289;449105
275870;350015
276491;271289
279978;334851
287249;749830
287885;494627
296893;821104
305830;
307813;638522
332484;212691
334839;365619
334851;732773
337861;565275
350015;971510
354016;546557
360377;
360994;
363194;613660
365619;
377772;437578
377963;965119
378149;
398774;258728
399558;
403536;378149
411316;905820
417668;
421113;630658
421199;261683
423531;237387
424027;581495
435440;
437578;981048
439270;626924
439882;616716
445773;858390
449105;
449350;109930
454644;885062
456127;727637
487459;548818
494627;
497108;
498225;855146
498283;821104
498355;670063
508722;
510199;557927
511314;670791
522694;399558
532308;716524
533672;571094
539794;964683
541870;
545214;548818
545857;
546557;261683
548818;821104
553818;680238
555904;271289
557927;139301
558164;
560557;365619
565275;508722
569615;365619
570479;855146
571094;937937
574675;548818
575756;565275
575957;437578
578194;217375
581495;
602025;657346
605868;932074
607131;212691
613660;614760
614760;
616094;833864
616716;581495
621416;839325
624273;558164
626397;255774
626774;816300
626924;417668
630658;136016
631345;569615
638522;
638801;939332
638910;624273
639825;261367
657346;360377
670063;541870
670791;
671094;117402
674101;848169
680238;939332
703564;727637
716524;421199
727637;981048
732773;
736037;937937
744359;403536
747922;287249
749830;
756910;200326
764550;953821
768625;680238
778802;164605
778907;
795454;626397
795663;511314
795688;626397
816300;305830
821104;732773
824659;560557
829170;778907
830669;494627
833864;399558
839325;965119
848169;541870
855146;923532
858390;258082
870399;183681
870748;350015
879044;638801
884324;833864
885062;778907
905820;944602
906286;778802
923532;
932074;545857
936654;778802
937937;
939214;237387
939332;
939998;638801
944602;
953821;
964683;164356
965119;
965127;546557
969335;
971510;
972691;764550
976919;830669
981048;
987909;377963
990842;716524
996394;399558
